Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.880001,33.169998,32.529999,32.939999,27.136265,3537806
2010-01-05,32.779999,32.930000,32.580002,32.645000,26.893244,2907653
2010-01-06,32.735001,33.294998,32.615002,33.224998,27.371048,3772263
2010-01-07,33.090000,34.259998,33.090000,34.105000,28.096003,6331741
2010-01-08,34.320000,34.630001,33.755001,34.345001,28.293716,5061607
2010-01-11,34.630001,34.810001,34.529999,34.674999,28.565569,4430565
2010-01-12,34.785000,34.794998,34.080002,34.340000,28.289598,4675389
2010-01-13,34.299999,34.830002,34.250000,34.695000,28.582047,3945587
2010-01-14,34.799999,36.105000,34.674999,35.349998,29.121643,16239702
2010-01-15,34.779999,34.900002,34.099998,34.099998,28.091885,8319858
2010-01-18,34.380001,34.380001,33.895000,33.935001,27.955954,2907226
2010-01-19,33.900002,34.485001,33.735001,34.375000,28.318434,3776878
2010-01-20,34.200001,34.705002,33.779999,34.000000,28.009508,4337932
2010-01-21,34.150002,34.275002,33.334999,33.389999,27.506973,4882548
2010-01-22,33.180000,33.470001,32.669998,33.095001,27.263956,5944584
2010-01-25,33.185001,33.250000,32.645000,32.645000,26.893244,4544590
2010-01-26,32.279999,32.849998,32.250000,32.720001,26.955029,3813532
2010-01-27,32.520000,33.080002,32.404999,32.750000,26.979740,4911258
2010-01-28,33.099998,33.134998,32.180000,32.180000,26.510174,6776106
2010-01-29,32.450001,33.400002,32.279999,33.080002,27.251598,6583312
2010-02-01,32.849998,33.900002,32.770000,33.584999,27.667620,8699743
2010-02-02,33.450001,34.040001,33.340000,33.794998,27.840622,5021748
2010-02-03,33.945000,34.205002,33.560001,34.049999,28.050694,5095906
2010-02-04,34.080002,34.525002,33.660000,33.794998,27.840622,5953806
2010-02-05,33.735001,33.959999,33.174999,33.384998,27.502861,7196488
2010-02-08,33.169998,33.380001,32.424999,32.560001,26.823219,8188421
2010-02-09,32.000000,32.145000,31.559999,31.754999,26.160053,9106102
2010-02-10,31.770000,32.294998,31.639999,31.735001,26.143576,6123731
2010-02-11,31.885000,31.940001,30.910000,31.115000,25.632813,6865904
2010-02-12,31.400000,31.469999,31.059999,31.309999,25.793457,4000879
2010-02-15,31.525000,31.715000,31.325001,31.400000,25.867598,2061286
2010-02-16,31.900000,32.200001,31.750000,32.154999,26.489573,5154084
2010-02-17,32.250000,32.705002,32.220001,32.369999,26.666691,5387783
2010-02-18,32.299999,32.555000,32.220001,32.395000,26.687290,3251113
2010-02-19,32.235001,33.000000,32.154999,32.904999,27.107430,4337480
2010-02-22,32.869999,32.974998,32.500000,32.520000,26.790266,2660982
2010-02-23,32.680000,32.790001,32.090000,32.314999,26.621384,3339080
2010-02-24,32.474998,32.860001,32.380001,32.700001,26.938549,2983022
2010-02-25,32.700001,32.974998,32.220001,32.305000,26.613150,3841275
2010-02-26,32.650002,32.900002,32.395000,32.759998,26.987978,3816363
2010-03-01,33.150002,33.540001,33.115002,33.445000,27.552288,4013619
2010-03-02,33.549999,33.869999,33.314999,33.869999,27.902409,5108687
2010-03-03,33.639999,33.840000,33.435001,33.619999,27.696453,2955657
2010-03-04,33.320000,33.900002,33.200001,33.840000,27.877691,3487415
2010-03-05,34.000000,34.145000,33.845001,34.080002,28.075407,3411862
2010-03-08,33.799999,34.075001,33.799999,33.965000,27.980669,2405016
2010-03-09,33.910000,34.070000,33.700001,33.994999,28.005384,2380720
2010-03-10,33.820000,34.090000,33.674999,34.014999,28.021860,3021575
2010-03-11,33.970001,33.970001,33.555000,33.700001,27.762360,2736816
2010-03-12,33.540001,33.700001,33.369999,33.500000,27.597597,3358162
2010-03-15,33.610001,33.755001,33.334999,33.439999,27.548168,2043349
2010-03-16,33.750000,33.750000,33.275002,33.634998,27.708809,3195445
2010-03-17,33.689999,34.669998,33.580002,34.500000,28.421402,6839128
2010-03-18,34.400002,34.820000,34.224998,34.599998,28.503782,3760285
